time,open,high,low,close
2025-03-03T04:30:00+05:30,2873.14,2874.335,2871.88,2873.25
2025-03-03T04:35:00+05:30,2873.24,2874.465,2869.22,2873.835
2025-03-03T04:40:00+05:30,2873.74,2876.85,2871.79,2872.77
2025-03-03T04:45:00+05:30,2872.71,2874.545,2870.96,2874.06
2025-03-03T04:50:00+05:30,2874.065,2874.505,2870.02,2870.41
2025-03-03T04:55:00+05:30,2870.39,2872.205,2870.01,2871.19
2025-03-03T05:00:00+05:30,2871.105,2871.87,2869.745,2871.755
2025-03-03T05:05:00+05:30,2871.705,2872.45,2871.02,2871.87
2025-03-03T05:10:00+05:30,2871.875,2872.565,2870.955,2871.695
2025-03-03T05:15:00+05:30,2871.825,2872.425,2864.42,2865.135
2025-03-03T05:20:00+05:30,2865.13,2867.685,2864.43,2867.59
2025-03-03T05:25:00+05:30,2867.585,2871.335,2867.29,2871.125
2025-03-03T05:30:00+05:30,2871.09,2871.525,2868.27,2869.245
2025-03-03T05:35:00+05:30,2869.43,2869.665,2866.415,2868.485
2025-03-03T05:40:00+05:30,2868.505,2870.415,2868.395,2870.34
2025-03-03T05:45:00+05:30,2870.32,2871.165,2868.98,2870.715
2025-03-03T05:50:00+05:30,2870.725,2870.73,2867.92,2869.09
2025-03-03T05:55:00+05:30,2869.085,2870.26,2868.185,2869.805
2025-03-03T06:00:00+05:30,2869.865,2870.27,2867.81,2868.045
2025-03-03T06:05:00+05:30,2867.965,2869.645,2867.53,2867.795
2025-03-03T06:10:00+05:30,2867.8,2869.865,2867.73,2868.62
2025-03-03T06:15:00+05:30,2868.635,2869.29,2867.545,2867.775
2025-03-03T06:20:00+05:30,2867.925,2868.29,2866.695,2867.69
2025-03-03T06:25:00+05:30,2867.72,2868.105,2865.335,2865.95
2025-03-03T06:30:00+05:30,2865.98,2868.83,2864.26,2867.94
2025-03-03T06:35:00+05:30,2867.93,2868.865,2866.685,2866.955
2025-03-03T06:40:00+05:30,2866.915,2869.225,2866.435,2868.025
2025-03-03T06:45:00+05:30,2868.035,2869.545,2866.275,2868.885
2025-03-03T06:50:00+05:30,2868.87,2869.89,2868.045,2869.16
2025-03-03T06:55:00+05:30,2869.16,2871.19,2867.69,2871.125
2025-03-03T07:00:00+05:30,2871.13,2872.065,2870.645,2870.84
2025-03-03T07:05:00+05:30,2870.85,2871.22,2869.15,2869.56
2025-03-03T07:10:00+05:30,2869.565,2870.24,2868.82,2869.19
2025-03-03T07:15:00+05:30,2869.2,2870.02,2868.63,2869.665
2025-03-03T07:20:00+05:30,2869.66,2871.79,2869.385,2871.33
2025-03-03T07:25:00+05:30,2871.335,2872.15,2870.43,2870.97
2025-03-03T07:30:00+05:30,2870.965,2871.3,2870.02,2870.62
2025-03-03T07:35:00+05:30,2870.64,2871.685,2870.31,2870.685
2025-03-03T07:40:00+05:30,2870.705,2871.27,2870.06,2870.235
2025-03-03T07:45:00+05:30,2870.245,2871.97,2869.865,2871.805
2025-03-03T07:50:00+05:30,2871.775,2871.995,2870.895,2871.285
2025-03-03T07:55:00+05:30,2871.27,2871.58,2869.655,2870.265
2025-03-03T08:00:00+05:30,2870.14,2870.55,2869.225,2870.28
2025-03-03T08:05:00+05:30,2870.275,2870.605,2869.705,2870.315
2025-03-03T08:10:00+05:30,2870.28,2870.49,2869.585,2870.075
2025-03-03T08:15:00+05:30,2870.09,2870.305,2868.365,2868.48
2025-03-03T08:20:00+05:30,2868.46,2870.275,2868.385,2869.45
2025-03-03T08:25:00+05:30,2869.385,2869.555,2867.75,2868.15
2025-03-03T08:30:00+05:30,2868.17,2868.17,2866.16,2866.745
2025-03-03T08:35:00+05:30,2866.735,2866.85,2863.725,2864.29
2025-03-03T08:40:00+05:30,2864.28,2864.32,2861.875,2862.845
2025-03-03T08:45:00+05:30,2862.84,2863.43,2861.61,2863.075
2025-03-03T08:50:00+05:30,2863.085,2863.475,2859.47,2862.13
2025-03-03T08:55:00+05:30,2862.12,2862.715,2861.105,2862.005
2025-03-03T09:00:00+05:30,2862,2863.76,2861.68,2863.47
2025-03-03T09:05:00+05:30,2863.48,2864.85,2863.425,2864.715
2025-03-03T09:10:00+05:30,2864.72,2865.36,2864.445,2864.88
2025-03-03T09:15:00+05:30,2864.875,2864.985,2864.135,2864.265
2025-03-03T09:20:00+05:30,2864.27,2866.39,2864.27,2865.505
2025-03-03T09:25:00+05:30,2865.5,2865.5,2863.855,2864.87
2025-03-03T09:30:00+05:30,2864.86,2865.24,2863.77,2864.05
2025-03-03T09:35:00+05:30,2864.07,2864.14,2863.195,2863.83
2025-03-03T09:40:00+05:30,2863.855,2864.405,2863.51,2864.385
2025-03-03T09:45:00+05:30,2864.4,2864.445,2863.545,2863.93
2025-03-03T09:50:00+05:30,2863.935,2864.54,2863.905,2864.045
2025-03-03T09:55:00+05:30,2864.02,2864.63,2863.51,2864.415
2025-03-03T10:00:00+05:30,2864.455,2866.345,2863.965,2865.96
2025-03-03T10:05:00+05:30,2865.975,2866.935,2865.96,2866.72
2025-03-03T10:10:00+05:30,2866.82,2867.955,2866.505,2867.875
2025-03-03T10:15:00+05:30,2867.84,2868.515,2867.29,2867.92
2025-03-03T10:20:00+05:30,2867.91,2868.295,2867.665,2867.785
2025-03-03T10:25:00+05:30,2867.805,2868.055,2867.37,2867.42
2025-03-03T10:30:00+05:30,2867.395,2867.395,2866.05,2866.31
2025-03-03T10:35:00+05:30,2866.305,2866.6,2865.775,2865.865
2025-03-03T10:40:00+05:30,2865.925,2867.29,2865.925,2867.055
2025-03-03T10:45:00+05:30,2867.05,2867.295,2866.655,2867.07
2025-03-03T10:50:00+05:30,2867.055,2867.45,2866.06,2866.65
2025-03-03T10:55:00+05:30,2866.64,2866.855,2865.42,2865.835
2025-03-03T11:00:00+05:30,2865.845,2866.475,2862.37,2863.07
2025-03-03T11:05:00+05:30,2863.065,2864.655,2862.435,2862.76
2025-03-03T11:10:00+05:30,2862.785,2863.2,2862.325,2862.605
2025-03-03T11:15:00+05:30,2862.6,2863.025,2861.33,2862.88
2025-03-03T11:20:00+05:30,2862.875,2863.14,2862.02,2863.11
2025-03-03T11:25:00+05:30,2863.195,2864.065,2863.195,2863.995
2025-03-03T11:30:00+05:30,2863.94,2865.32,2863.505,2865.085
2025-03-03T11:35:00+05:30,2865.09,2865.56,2862.945,2864.085
2025-03-03T11:40:00+05:30,2864.04,2866.1,2863.92,2865.415
2025-03-03T11:45:00+05:30,2865.42,2865.505,2863.92,2863.965
2025-03-03T11:50:00+05:30,2863.95,2864.11,2862.775,2863.64
2025-03-03T11:55:00+05:30,2863.62,2863.925,2863.215,2863.48
2025-03-03T12:00:00+05:30,2863.465,2863.97,2861.815,2862.445
2025-03-03T12:05:00+05:30,2862.45,2863.2,2862.28,2862.515
2025-03-03T12:10:00+05:30,2862.49,2863.465,2862.32,2863.215
2025-03-03T12:15:00+05:30,2863.16,2864.465,2863.105,2863.955
2025-03-03T12:20:00+05:30,2863.995,2865.93,2863.995,2865.79
2025-03-03T12:25:00+05:30,2865.805,2865.965,2865.03,2865.595
2025-03-03T12:30:00+05:30,2865.59,2866.41,2865.02,2865.05
2025-03-03T12:35:00+05:30,2865.045,2865.78,2864.205,2864.29
2025-03-03T12:40:00+05:30,2864.285,2864.945,2862.735,2863.615
2025-03-03T12:45:00+05:30,2863.605,2863.85,2861.475,2862.49
2025-03-03T12:50:00+05:30,2862.51,2863.145,2861.905,2862.505
2025-03-03T12:55:00+05:30,2862.47,2862.7,2860.825,2861.57
2025-03-03T13:00:00+05:30,2861.555,2863.34,2861.22,2862.505
2025-03-03T13:05:00+05:30,2862.49,2862.52,2861.09,2862.285
2025-03-03T13:10:00+05:30,2862.265,2862.285,2861.225,2861.435
2025-03-03T13:15:00+05:30,2861.42,2861.62,2860.285,2861
2025-03-03T13:20:00+05:30,2860.97,2863.54,2860.635,2862.37
2025-03-03T13:25:00+05:30,2862.39,2863.505,2862.305,2863.325
2025-03-03T13:30:00+05:30,2863.365,2864.025,2862.075,2863.365
2025-03-03T13:35:00+05:30,2863.38,2863.86,2862.015,2863.82
2025-03-03T13:40:00+05:30,2863.8,2865.095,2863.22,2864.025
2025-03-03T13:45:00+05:30,2864.015,2864.67,2862.605,2863.44
2025-03-03T13:50:00+05:30,2863.425,2863.43,2860.435,2860.825
2025-03-03T13:55:00+05:30,2860.815,2860.91,2859,2860.39
2025-03-03T14:00:00+05:30,2860.35,2861.745,2859.34,2861.575
2025-03-03T14:05:00+05:30,2861.58,2865.75,2861.39,2865.165
2025-03-03T14:10:00+05:30,2865.135,2865.5,2863.9,2865.17
2025-03-03T14:15:00+05:30,2865.085,2867.455,2865.085,2866.675
2025-03-03T14:20:00+05:30,2866.655,2868.93,2866.435,2868.435
2025-03-03T14:25:00+05:30,2868.455,2868.845,2867.22,2868.69
2025-03-03T14:30:00+05:30,2868.685,2869.72,2867.28,2869.33
2025-03-03T14:35:00+05:30,2869.335,2869.91,2868.355,2869.15
2025-03-03T14:40:00+05:30,2869.155,2870.01,2868.16,2869.205
2025-03-03T14:45:00+05:30,2869.22,2871.16,2869.15,2869.94
2025-03-03T14:50:00+05:30,2869.92,2871.565,2869.56,2870.245
2025-03-03T14:55:00+05:30,2870.22,2870.875,2869.53,2869.53
2025-03-03T15:00:00+05:30,2869.495,2869.79,2868.085,2868.77
2025-03-03T15:05:00+05:30,2868.765,2869.56,2867.69,2868.155
2025-03-03T15:10:00+05:30,2868.14,2868.895,2864.375,2864.61
2025-03-03T15:15:00+05:30,2864.625,2867.982,2864.5,2866.605
2025-03-03T15:20:00+05:30,2866.59,2869.815,2866.325,2869.14
2025-03-03T15:25:00+05:30,2869.1,2869.82,2867.255,2867.495
2025-03-03T15:30:00+05:30,2867.52,2869.165,2867.52,2868.405
2025-03-03T15:35:00+05:30,2868.355,2868.545,2867.345,2867.795
2025-03-03T15:40:00+05:30,2867.82,2868.71,2867.275,2868.515
2025-03-03T15:45:00+05:30,2868.52,2869.225,2868.155,2868.66
2025-03-03T15:50:00+05:30,2868.65,2870.925,2868.65,2869.97
2025-03-03T15:55:00+05:30,2869.875,2869.96,2869.075,2869.255
2025-03-03T16:00:00+05:30,2869.265,2869.865,2868.57,2869.055
