time,open,high,low,close
2025-04-07T05:30:00+05:30,78430,78520,77788.23,77801.5
2025-04-07T05:35:00+05:30,77801.5,78171.12,77801.5,77939.91
2025-04-07T05:40:00+05:30,77939.91,77960,77419.9,77448.63
2025-04-07T05:45:00+05:30,77448.63,78000,77448.63,77928.51
2025-04-07T05:50:00+05:30,77928.52,78067.96,77721.01,77848
2025-04-07T05:55:00+05:30,77848,78346.94,77789.69,78319.99
2025-04-07T06:00:00+05:30,78320,78380,77934.45,77995.99
2025-04-07T06:05:00+05:30,77996,78200,77900,78187.99
2025-04-07T06:10:00+05:30,78187.99,78187.99,77865.29,77942.93
2025-04-07T06:15:00+05:30,77942.93,77947.49,77689.86,77768.03
2025-04-07T06:20:00+05:30,77768.03,78000,77615.41,77995.99
2025-04-07T06:25:00+05:30,77996,78391.31,77959.9,78327.87
2025-04-07T06:30:00+05:30,78327.86,78733.87,78327.86,78508.97
2025-04-07T06:35:00+05:30,78508.97,78669.11,78318,78521.74
2025-04-07T06:40:00+05:30,78521.74,78918.61,78500,78860
2025-04-07T06:45:00+05:30,78860,79065.15,78695.65,79038.16
2025-04-07T06:50:00+05:30,79038.16,79347.46,79024,79270.09
2025-04-07T06:55:00+05:30,79269.9,79269.9,78976,79039.15
2025-04-07T07:00:00+05:30,79039.15,79140,78918.03,78945.26
2025-04-07T07:05:00+05:30,78945.26,78966.31,78759.9,78855.4
2025-04-07T07:10:00+05:30,78855.39,78920,78624,78709.39
2025-04-07T07:15:00+05:30,78709.38,79004.4,78688,78924.54
2025-04-07T07:20:00+05:30,78924.54,79130.44,78839.9,79086.11
2025-04-07T07:25:00+05:30,79086.11,79229.11,79000,79142.01
2025-04-07T07:30:00+05:30,79142.01,79165.44,78896.62,79165.44
2025-04-07T07:35:00+05:30,79165.44,79220,79016.27,79025.99
2025-04-07T07:40:00+05:30,79025.99,79083.25,78956.55,79032.86
2025-04-07T07:45:00+05:30,79032.86,79100,78919.9,78990
2025-04-07T07:50:00+05:30,78990,79029.14,78687,78752.25
2025-04-07T07:55:00+05:30,78752.26,78770.41,78586,78635.67
2025-04-07T08:00:00+05:30,78635.67,78858.1,78587.17,78840.6
2025-04-07T08:05:00+05:30,78840.6,78860,78434.78,78480
2025-04-07T08:10:00+05:30,78479.99,78639.99,78450,78500.21
2025-04-07T08:15:00+05:30,78500.21,78718.05,78429,78670.73
2025-04-07T08:20:00+05:30,78670.72,78772.61,78579.9,78586.19
2025-04-07T08:25:00+05:30,78586.2,78600,78392.15,78447.42
2025-04-07T08:30:00+05:30,78447.42,78507.81,78329.32,78417.34
2025-04-07T08:35:00+05:30,78417.34,78445.46,78274.4,78274.41
2025-04-07T08:40:00+05:30,78274.4,78274.4,78056,78099.9
2025-04-07T08:45:00+05:30,78099.9,78462,78073.75,78308
2025-04-07T08:50:00+05:30,78307.99,78389.39,78130.43,78213.39
2025-04-07T08:55:00+05:30,78213.39,78380,78152.05,78339.9
2025-04-07T09:00:00+05:30,78339.9,78348.63,77942.9,78011.55
2025-04-07T09:05:00+05:30,78011.54,78011.55,77610.76,77667.68
2025-04-07T09:10:00+05:30,77667.67,77871.6,77410.53,77417.32
2025-04-07T09:15:00+05:30,77417.32,77600,77356.03,77561.7
2025-04-07T09:20:00+05:30,77561.69,77589.75,77354,77495.35
2025-04-07T09:25:00+05:30,77495.35,77740,77455.56,77707.77
2025-04-07T09:30:00+05:30,77707.78,77977.19,77682.64,77897.42
2025-04-07T09:35:00+05:30,77897.42,77984,77539.9,77539.91
2025-04-07T09:40:00+05:30,77539.9,77539.9,77200,77415.99
2025-04-07T09:45:00+05:30,77416,77480,77000,77284.9
2025-04-07T09:50:00+05:30,77284.9,77690,77284.9,77400.01
2025-04-07T09:55:00+05:30,77400,77498.99,77261.34,77432.01
2025-04-07T10:00:00+05:30,77432.01,77539.16,77137.39,77218.96
2025-04-07T10:05:00+05:30,77218.96,77311,76865.15,76878.49
2025-04-07T10:10:00+05:30,76878.48,76944.73,76668,76807.07
2025-04-07T10:15:00+05:30,76807.07,77055.66,76704.4,76723.32
2025-04-07T10:20:00+05:30,76723.32,76961.56,76666,76820.4
2025-04-07T10:25:00+05:30,76820.41,77079.29,76820.41,76989.92
2025-04-07T10:30:00+05:30,76989.92,77280.11,76827,76869.95
2025-04-07T10:35:00+05:30,76869.94,76956.21,76666.01,76881.99
